ts, location1, avg_temp1,location2, avg_temp2,location3, avg_temp3,location4, avg_temp4,location5, avg_temp5,location6, avg_temp6,location7, avg_temp7,location8, avg_temp8,location9, avg_temp9,location10, avg_temp10
2022-05-01T00:00:00,18029,28.03558052434456,30134,27.97729007633582,6091,25.55103969754251,7873,24.271035087719312,54349,22.993721804511267,6062,7.771428571428578,6126,7.954543726235738,58935,10.072766726943945,5346,10.0751984126984,48128,10.093629343629347
2022-05-02T00:00:00,6091,26.54367088607597,3260,25.264285714285705,8066,25.16197440585008,30134,24.66131868131871,50807,24.642450765864286,6062,9.133124999999996,58935,9.762919132149927,56625,10.687178423236503,52045,10.756846473029057,48128,11.253177966101703
2022-05-03T00:00:00,6091,27.530943396226444,30134,26.818317757009392,8066,26.107042253521136,50807,25.430683180183692,6820,25.278738738738742,58935,9.136451612903215,6126,9.288355387523628,56625,9.590334572490711,7950,9.617844202898539,27550,9.767771639042357
2022-05-04T00:00:00,59308,28.38953488372094,30134,27.95327586206908,6091,27.605882352941165,8066,25.43506044905009,18029,25.058886894075343,6126,8.11641379310346,58935,9.447079037800677,48128,9.600182481751828,56625,10.549182608695666,32805,11.511130434782602
2022-05-05T00:00:00,18029,29.47809694793535,59308,28.34466019417475,6091,27.614946619217065,30134,26.718439716312073,8066,26.668641114982595,7483,10.186538461538463,48128,10.69471766848815,5346,10.760693641618513,54610,11.522809917355376,58935,12.195751295336795
2022-05-06T00:00:00,59308,31.905622489959864,18029,28.39787610619468,30134,27.706608695652125,6091,27.433626760563364,10527,27.41493848857646,6062,9.904173913043492,33096,11.725222551928791,52045,11.81901408450704,58935,12.080103092783512,53098,12.410954063604239
2022-05-07T00:00:00,30134,28.31923076923074,18029,28.195145631067973,50807,27.5107575757577,10527,27.331934306569348,6091,27.263176265270527,6062,9.7608695652174,33096,11.491317365269468,6126,11.930175131348518,52045,12.637823834196883,55725,12.962277580071174
2022-05-08T00:00:00,59308,32.725,30134,29.418596491228165,3260,27.252098765432105,6091,27.205923344947777,50807,26.878735632183904,6126,8.003684210526314,58935,9.955224913494805,48128,10.673214285714295,6062,11.06056338028168,56625,11.327135325131815
2022-05-09T00:00:00,30134,29.455178907721184,3260,28.8808564231738,8066,28.417137809187295,10527,28.26767485822306,59308,27.94343434343433,58935,8.961038961038954,56625,10.699627560521414,56766,12.485654648956373,52045,12.533130081300808,6062,12.636312849162021
2022-05-10T00:00:00,8066,31.115873015873017,4594,29.443238095238105,10527,28.91953125000002,6091,28.831212723658002,6820,28.485245398773007,50815,12.871666666666663,6126,13.982089843749986,56766,14.128150943396216,55725,14.190679094540593,48128,14.913438735177877
2022-05-11T00:00:00,54856,69.63952522255151,8066,33.5426807760141,4594,32.38550458715596,6820,30.554107142857134,7888,30.128615384615394,9970,13.616508538899422,55953,13.889579524680055,50815,14.256410256410254,6126,14.540853432282015,48128,14.85456273764261
2022-05-12T00:00:00,54856,70.79999999999956,8066,31.02200704225356,15488,29.1945614035088,15767,28.97170923379176,6820,28.91474474474472,6126,13.376807692307686,48128,13.457335907335912,55953,13.542152133580702,58935,13.752936936936916,9970,13.770244821092286
2022-05-13T00:00:00,54856,70.79999999999956,59308,29.69420289855072,18029,28.576190476190465,8066,27.776056338028166,6820,27.73246290801187,48128,12.342217898832693,6126,12.634685714285716,58935,13.638346456692911,9519,13.991071428571423,32805,14.045149911816576
2022-05-14T00:00:00,54856,70.79999999999957,8066,30.196864111498275,59308,29.855511022044077,10527,28.54478976234004,18029,28.258768656716413,7483,11.662559241706163,6126,12.890386740331493,58935,13.210107142857144,54931,13.405625000000004,56625,13.442899082568818
2022-05-15T00:00:00,54856,70.79999999999981,10527,31.747329650092098,8066,31.56443661971832,59308,30.420652173913048,7954,30.270476190476206,48128,12.73442307692308,58935,12.799964664310975,6126,13.42983018867924,56625,13.517940074906367,55582,14.3580694980695
2022-05-16T00:00:00,3260,30.389367088607603,10527,30.05407407407412,6091,28.79789674952197,6820,28.569788519637473,50807,27.882930756843898,6126,11.100620300751883,58935,12.067513611615263,56625,13.374128787878794,48128,13.616926070038906,56766,14.858876404494373
2022-05-17T00:00:00,10527,31.681818181818223,8066,30.79050966608088,6820,29.489570552147235,30134,28.50353159851295,6091,28.297164461247664,58935,9.66754285714285,6126,9.818152985074633,56625,11.118801498127345,55582,11.95349019607843,27550,12.163051470588252
2022-05-18T00:00:00,7954,32.884955908289214,10527,32.378219696969744,6856,31.906666666666666,4594,31.90576208178437,7672,31.623875968992266,6126,7.949521739130433,53417,9.303469387755095,58935,10.218098591549303,56766,11.385351043643261,56061,11.876425855513297
2022-05-19T00:00:00,8066,33.580176991150445,6820,32.3315337423313,6091,30.816370808678446,54794,30.166347992351852,49320,30.157627118644033,54238,9.13784946236559,7950,13.682154398563739,55725,14.615474642392725,3986,14.98327526132404,56874,15.056683168316827
2022-05-20T00:00:00,8066,35.02291296625225,15767,32.76546906187623,7086,32.75701598579044,15488,32.13218806509947,5715,32.01241970021416,9970,13.866019417475734,53212,15.096531791907504,55953,15.405152671755726,48128,15.561341222879683,3960,15.890242085661082
2022-05-21T00:00:00,8066,31.16010544815465,42191,28.500562851782366,15488,28.228091872791524,15767,28.211023622047236,6440,27.753697183098584,27550,11.844194756554296,58935,12.120641711229954,56625,12.701852551984867,48128,12.969504950495041,52915,13.631212121212117
