ts, location1, avg_temp1,location2, avg_temp2,location3, avg_temp3,location4, avg_temp4,location5, avg_temp5,location6, avg_temp6,location7, avg_temp7,location8, avg_temp8,location9, avg_temp9,location10, avg_temp10
2022-05-01T00:00:00,30134,29.075000000000006,18029,26.479166666666668,6091,25.104166666666675,7873,24.808333333333334,54349,23.32166666666666,6126,1.579583333333333,56061,4.216000000000001,57245,4.500833333333333,7865,4.95,54434,5.154545454545453
2022-05-01T01:00:00,30134,28.9695652173913,18029,27.534782608695654,6091,24.995652173913044,7873,24.779166666666665,54349,22.905833333333337,6126,1.7308333333333332,56061,3.3791666666666664,57245,3.8208333333333346,7865,4.245454545454546,54434,4.634782608695652
2022-05-01T02:00:00,18029,29.22916666666667,30134,28.851999999999986,6091,24.91249999999999,7873,24.7264,54349,22.41083333333333,6126,2.0404166666666668,57245,3.11,56061,3.163333333333334,7865,3.616666666666666,56766,3.6308333333333334
2022-05-01T03:00:00,18029,30.59130434782609,30134,28.741666666666678,6091,24.812500000000004,7873,24.644583333333333,54349,22.031666666666663,57245,2.2376000000000005,6126,2.8072,56766,3.035833333333333,7865,3.0500000000000003,23926,3.158333333333333
2022-05-01T04:00:00,18029,32.04166666666666,30134,28.62500000000001,6091,24.679166666666664,7873,24.536666666666665,54349,21.729166666666668,7865,2.8499999999999996,57245,3.1325,6126,3.834583333333334,53212,3.9824999999999986,23926,4.039999999999999
2022-05-01T05:00:00,18029,33.19583333333333,30134,28.491999999999997,6091,24.658333333333335,7873,24.590799999999998,18310,23.385,57334,5.148,6126,5.219166666666665,23926,5.525000000000001,7865,5.858333333333333,53212,6.3312
2022-05-01T06:00:00,18029,34.59166666666666,56028,31.006666666666668,21492,29.288888888888884,30134,28.395833333333325,6505,28.174999999999994,6062,7.275999999999999,5346,7.454166666666667,6126,7.627600000000001,53098,7.974999999999999,52045,8.12
2022-05-01T07:00:00,56028,36.334482758620695,18029,35.15217391304348,21492,32.480000000000004,6505,32.108,18310,28.695000000000004,53098,8.588,52045,8.784,13428,9.237499999999999,40640,9.37857142857143,32805,9.908333333333333
2022-05-01T08:00:00,18029,35.408333333333324,6505,33.229166666666664,57245,31.12333333333333,21492,29.51,6440,29.400000000000006,52045,8.816666666666668,13428,9.908333333333335,40640,9.926666666666668,51487,10.066666666666666,53098,10.612499999999999
2022-05-01T09:00:00,18029,34.95652173913044,57245,34.53666666666667,27550,31.090476190476185,6440,30.804166666666674,6505,28.743478260869566,52045,9.72608695652174,51487,10.776190476190475,13428,10.9,40640,11.593333333333334,53098,12.458333333333334
2022-05-01T10:00:00,57245,35.38315789473684,18029,34.195,59195,32.406315789473695,4594,30.738888888888887,56000,29.299047619047617,52045,10.450000000000001,51487,11.828571428571431,13428,11.860000000000001,6062,12.123529411764705,9519,13.281818181818181
2022-05-01T11:00:00,4594,34.4125,56000,32.235238095238095,57245,30.39888888888889,18029,30.186363636363634,58706,30.176665782500006,6062,8.884210526315792,51487,13.799999999999999,6126,13.888421052631578,13428,13.9,9519,14.075000000000001
2022-05-01T12:00:00,54238,31.19416666666667,55514,30.22260869565218,4594,29.513636363636365,10739,29.429166666666664,30134,28.225000000000005,6062,8.38695652173913,6126,12.891739130434782,58935,14.109166666666665,4154,14.280952380952382,52045,14.73809523809524
2022-05-01T13:00:00,53168,37.69652173913044,56000,34.68,54238,33.896521739130435,55514,32.53652173913043,10739,31.06249999999999,6062,7.2565217391304335,58935,12.130833333333333,6126,12.410454545454547,56625,14.503478260869567,32805,14.758333333333333
2022-05-01T14:00:00,56645,45.9725,53168,38.02782608695652,55514,34.700909090909086,54238,33.45142857142857,56000,33.06260869565217,6062,7.220833333333332,58935,11.120833333333335,6126,12.187499999999998,56625,13.672173913043478,48128,13.819047619047618
2022-05-01T15:00:00,56645,43.35066666666667,5487,33.46521739130435,55514,32.97545454545454,3260,31.134782608695648,54238,30.942,6062,7.566666666666667,58935,10.55818181818182,6126,11.71285714285714,56625,12.105454545454545,27550,12.352380952380951
2022-05-01T16:00:00,55514,32.869565217391305,5487,30.55652173913044,56645,30.447826086956525,30134,28.82,54238,28.564761904761905,6062,7.219047619047619,58935,9.663,6126,11.183333333333334,27550,11.437499999999998,56625,11.678999999999998
2022-05-01T17:00:00,30134,28.86499999999999,42191,28.50909090909091,10527,26.770000000000003,6091,25.99090909090909,6820,25.047857142857143,6062,5.604545454545455,58935,9.445454545454545,27550,9.614285714285714,6126,10.3325,5346,10.426315789473685
2022-05-01T19:00:00,30134,26.372727272727275,6091,25.518181818181816,10527,25.37142857142857,7873,23.841739130434778,54349,23.5175,27550,6.34,6062,6.792307692307693,6126,6.816428571428572,5346,6.963636363636365,58935,7.909999999999999
2022-05-01T18:00:00,30134,27.733333333333334,10527,25.976470588235294,6091,25.74117647058823,54349,23.842352941176472,7873,23.839999999999996,6062,6.110526315789475,27550,7.6571428571428575,5346,8.2125,58935,8.709,6126,9.555882352941177
2022-05-01T20:00:00,30134,25.968421052631573,6091,25.34444444444445,10527,24.638888888888893,7873,24.541818181818176,54349,23.207777777777782,27550,4.824999999999999,6126,5.480666666666667,6062,6.150000000000001,5346,6.542857142857143,58935,7.109473684210527
2022-05-01T21:00:00,30134,25.995833333333334,6091,25.166666666666668,7873,24.409199999999995,10527,23.870833333333334,54349,22.97,27550,4.000000000000001,6126,4.778333333333333,5346,6.333333333333335,6062,6.4416666666666655,58935,6.6883333333333335
