ts,cell_0, avg_temp0, med_temp0,cell_1, avg_temp1, med_temp1,cell_2, avg_temp2, med_temp2,cell_3, avg_temp3, med_temp3,cell_4, avg_temp4, med_temp4,cell_5, avg_temp5, med_temp5,cell_6, avg_temp6, med_temp6,cell_7, avg_temp7, med_temp7,cell_8, avg_temp8, med_temp8,cell_9, avg_temp9, med_temp9,cell_10, avg_temp10, med_temp10,cell_11, avg_temp11, med_temp11,cell_12, avg_temp12, med_temp12,cell_13, avg_temp13, med_temp13,cell_14, avg_temp14, med_temp14,cell_15, avg_temp15, med_temp15
2022-05-01T00:00:00,0,11.916322701688548,11.1,1,13.649676683149442,13.1,2,11.612492103600754,11.0,3,0.0,0.0,4,16.195252315252453,16.2,5,16.98772694373544,16.7,6,16.579158762380864,16.8,7,0.0,0.0,8,15.695917001338678,14.25,9,14.456706798866906,14.9,10,15.94814583333333,15.2,11,16.426647230320683,15.95,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,15.133817805383028,15.5
2022-05-02T00:00:00,0,12.806072874493918,11.5,1,15.33813934756343,14.1,2,12.168762530245392,10.79,3,0.0,0.0,4,18.10800554300962,18.0,5,18.690706813919434,18.2,6,17.302365763849192,16.82,7,0.0,0.0,8,17.009106529209625,17.25,9,15.33979983987188,14.3,10,16.491904761904735,16.3,11,16.723801652892533,16.3,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,13.878670857656038,13.28
2022-05-03T00:00:00,0,12.95054744525548,12.3,1,13.838568738229744,12.4,2,10.372753174357399,10.1,3,0.0,0.0,4,18.59357780073242,18.4,5,19.607825749641115,19.0,6,17.321414623548254,17.3,7,0.0,0.0,8,17.364474576271167,17.1,9,17.919696969696943,18.6,10,18.920670391061424,20.2,11,15.886146341463414,14.6,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,11.787963340122214,11.48
2022-05-04T00:00:00,0,13.813080895008602,13.1,1,13.279116465863423,12.9,2,11.393773255813944,11.1,3,0.0,0.0,4,18.425011204732773,18.2,5,19.48892815292225,19.1,6,17.4293188164237,17.0,7,0.0,0.0,8,16.65576009501189,16.5,9,17.594353785900843,18.0,10,18.29750631844988,17.96,11,18.035512820512796,16.8,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,14.353606366459644,13.865
2022-05-05T00:00:00,0,16.601936619718316,16.2,1,14.748362164151642,14.7,2,13.936338028168933,13.0,3,0.0,0.0,4,19.025961133973325,19.1,5,19.66582296348565,19.6,6,17.943730660098034,17.0,7,0.0,0.0,8,15.997852582704601,15.8,9,16.95847446670978,16.7,10,19.50367424242421,18.39,11,18.42015600624027,18.45,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,15.63784421715184,16.3
2022-05-06T00:00:00,0,17.51186736474694,16.9,1,17.312847730600303,16.9,2,14.918168389955671,13.55,3,0.0,0.0,4,20.102155381710194,20.2,5,19.09337444355257,18.7,6,17.280875599896337,16.74,7,0.0,0.0,8,16.278944137507704,15.7,9,15.343691813804131,14.7,10,18.498438475952515,17.9,11,18.258631492168156,18.0,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,16.30653364632233,16.9
2022-05-07T00:00:00,0,16.86540447504302,17.0,1,16.54809688581316,16.4,2,14.689693341121464,14.5,3,0.0,0.0,4,20.76545401367898,20.7,5,20.322405195191855,20.1,6,18.060051533098747,17.4,7,0.0,0.0,8,17.269903581267208,16.6,9,16.013721893491027,16.0,10,18.573718309859153,18.2,11,17.841291314373567,17.7,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,15.807321637426906,16.0
2022-05-08T00:00:00,0,13.280103806228384,13.2,1,15.21322815533981,14.6,2,12.63155425219938,11.2,3,0.0,0.0,4,19.672115958821568,19.2,5,20.010146332192903,19.9,6,18.702414797877786,18.6,7,0.0,0.0,8,17.898400000000002,15.7,9,17.983291356611318,17.55,10,18.211594202898617,18.0,11,17.476571856287382,17.28,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,15.8329725490196,15.795
2022-05-09T00:00:00,0,16.661367837338265,15.8,1,17.04960380348653,17.2,2,12.465370603015138,10.89,3,0.0,0.0,4,21.97190287972896,22.3,5,21.082274395595604,21.0,6,18.0123688129995,17.189999999999998,7,0.0,0.0,8,19.996521739130422,19.6,9,18.23787682885333,17.9,10,18.606270053475914,18.1,11,17.042042318307285,16.2,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,16.256414162206678,16.1
2022-05-10T00:00:00,0,19.459133709981135,19.0,1,18.8924014107085,18.0,2,17.408945676631294,17.0,3,0.0,0.0,4,23.61838865275325,23.9,5,23.457482136369027,23.5,6,18.825140477581225,18.74,7,0.0,0.0,8,21.301020408163257,19.7,9,20.219531013615747,21.6,10,19.49303112313938,18.8,11,17.451645569620272,16.4,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,16.822823185988355,17.1
2022-05-11T00:00:00,0,17.908163265306122,16.4,1,18.46492699596151,17.3,2,17.428248043347356,16.8,3,0.0,0.0,4,24.83274679502023,24.66,5,25.465130499921106,25.3,6,23.416036522066083,22.7,7,0.0,0.0,8,23.74322446143152,24.2,9,22.669912911775807,23.08,10,20.88948601171112,21.0,11,20.000254391278038,20.36,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,17.53451219512196,18.0
