ts,cell_0, avg_temp0, med_temp0,cell_1, avg_temp1, med_temp1,cell_2, avg_temp2, med_temp2,cell_3, avg_temp3, med_temp3,cell_4, avg_temp4, med_temp4,cell_5, avg_temp5, med_temp5,cell_6, avg_temp6, med_temp6,cell_7, avg_temp7, med_temp7,cell_8, avg_temp8, med_temp8,cell_9, avg_temp9, med_temp9,cell_10, avg_temp10, med_temp10,cell_11, avg_temp11, med_temp11,cell_12, avg_temp12, med_temp12,cell_13, avg_temp13, med_temp13,cell_14, avg_temp14, med_temp14,cell_15, avg_temp15, med_temp15
2022-05-09T11:00:00,0,23.072727272727274,22.9,1,23.0258064516129,22.5,2,16.477176470588237,16.1,3,0.0,0.0,4,27.467079365079393,26.85,5,27.615195312500006,26.0,6,24.495314762978214,23.9,7,0.0,0.0,8,27.22,26.05,9,22.0241791044776,23.0,10,23.783684210526314,24.09,11,26.73375,26.9,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,26.994305555555556,24.7
2022-05-09T13:00:00,0,25.173913043478265,25.2,1,24.138759689922473,21.6,2,16.64768115942028,13.8,3,0.0,0.0,4,29.509382716049384,29.3,5,28.786754966887415,26.88,6,25.51267917790102,23.83,7,0.0,0.0,8,26.26060606060606,27.1,9,23.801538461538453,23.2,10,22.40285714285714,21.4,11,21.417222222222218,19.7,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,25.401683168316836,24.7
2022-05-09T14:00:00,0,26.409090909090914,26.35,1,24.73870967741935,22.1,2,16.73681034482759,19.4,3,0.0,0.0,4,30.161836734693896,29.3,5,28.11958592132511,27.1,6,27.338026818639882,24.03,7,0.0,0.0,8,25.987096774193557,26.7,9,23.887000000000004,23.2,10,23.253454545454556,23.52,11,20.908260869565215,20.55,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,24.142584269662926,23.2
2022-05-09T15:00:00,0,26.974999999999998,26.85,1,24.632374100719414,25.9,2,17.117730496453905,13.2,3,0.0,0.0,4,30.294301430143044,29.2,5,27.71388224471021,26.6,6,25.55896661257554,23.3,7,0.0,0.0,8,26.088888888888892,27.1,9,23.84648648648648,23.16,10,22.17014925373135,20.28,11,19.076785714285716,19.369999999999997,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,22.741132075471697,22.125
2022-05-09T16:00:00,0,27.841666666666665,27.6,1,23.912318840579715,25.6,2,17.009084507042243,17.3,3,0.0,0.0,4,29.67558823529408,28.7,5,26.701085930122773,25.9,6,23.024750406972633,21.26,7,0.0,0.0,8,25.631944444444454,26.95,9,23.958064516129035,22.9,10,21.07253731343284,19.7,11,18.181818181818183,17.9,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,20.844392523364476,20.0
2022-05-09T17:00:00,0,24.732000000000003,24.5,1,22.010144927536224,22.75,2,15.759650349650354,16.2,3,0.0,0.0,4,28.258555917480994,28.01,5,25.01422142214221,24.8,6,20.312315107893898,19.47,7,0.0,0.0,8,24.662499999999994,25.75,9,21.56491228070176,19.240000000000002,10,19.808181818181815,19.1,11,17.325454545454548,16.7,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,18.324859813084117,17.99
2022-05-09T18:00:00,0,20.900000000000002,20.95,1,19.545185185185193,20.2,2,12.725797101449272,12.45,3,0.0,0.0,4,26.213038251366108,26.4,5,22.945050228310485,23.6,6,17.520363034521477,17.6,7,0.0,0.0,8,22.684507042253518,22.9,9,19.470956521739133,19.0,10,18.72060606060606,18.6,11,16.491379310344833,16.25,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,16.25471153846154,15.33
2022-05-09T19:00:00,0,18.784000000000002,18.6,1,17.425735294117636,18.35,2,10.49303448275862,9.5,3,0.0,0.0,4,23.92764832793959,24.1,5,21.0457310469314,21.45,6,15.61186305711784,16.0,7,0.0,0.0,8,20.015277777777772,19.55,9,17.823760683760685,18.2,10,17.704545454545457,18.04,11,15.68561403508772,16.1,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,14.512990654205604,13.5
2022-05-09T20:00:00,0,16.45,16.05,1,16.157857142857157,16.4,2,9.101857142857142,7.6,3,0.0,0.0,4,22.227675675675666,22.5,5,19.719909338168655,19.7,6,14.47860128713828,14.93,7,0.0,0.0,8,18.553424657534244,17.3,9,16.964225352112678,17.3,10,17.14925373134328,17.5,11,14.684999999999999,15.3,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,12.926320754716986,11.695
2022-05-09T21:00:00,0,15.370833333333335,15.4,1,15.524637681159412,15.6,2,8.029020979020977,6.6,3,0.0,0.0,4,21.07594855305469,21.55,5,18.710692520775638,19.0,6,13.674514564417487,13.85,7,0.0,0.0,8,17.383333333333333,16.05,9,16.39428571428572,16.799999999999997,10,16.69181818181819,17.1,11,13.813703703703698,14.9,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,12.014587155963303,10.56
2022-05-09T22:00:00,0,15.58333333333333,15.6,1,14.944202898550726,15.4,2,7.148439716312054,6.5,3,0.0,0.0,4,20.152139737991263,20.1,5,17.762965388213274,17.8,6,12.746706077466214,12.8,7,0.0,0.0,8,16.39014084507042,14.9,9,15.961206896551724,16.9,10,16.121515151515155,16.689999999999998,11,13.539230769230764,14.719999999999999,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,11.18190476190476,9.63
2022-05-09T23:00:00,0,15.429166666666665,15.45,1,14.805755395683457,15.3,2,6.529999999999997,6.3,3,0.0,0.0,4,19.350550847457598,19.53,5,16.96415199258573,17.0,6,11.948075656610202,11.9,7,0.0,0.0,8,15.663888888888891,14.2,9,15.459327731092435,16.6,10,15.642941176470586,16.1,11,12.995471698113205,14.1,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,10.250825688073396,9.06
2022-05-10T00:00:00,0,14.109090909090906,13.8,1,14.165833333333332,14.8,2,6.123560606060608,6.2,3,0.0,0.0,4,18.67984198645596,18.6,5,16.306559454191042,16.5,6,11.123570158911178,11.02,7,0.0,0.0,8,14.994117647058822,13.5,9,14.89085714285714,16.3,10,15.149836065573774,15.7,11,12.752916666666666,13.55,12,0.0,0.0,13,0.0,0.0,14,0.0,0.0,15,9.900808080808089,8.68
