ts, sensor_id, count, avg_temperature
2022-05-01T00:00:00,8227,24,9.295833333333333
2022-05-01T00:00:00,8362,24,10.220833333333333
2022-05-01T00:00:00,7389,24,8.791666666666666
2022-05-01T00:00:00,5571,24,11.020833333333336
2022-05-01T00:00:00,7882,25,10.983999999999998
2022-05-01T00:00:00,7830,24,9.392083333333332
2022-05-01T01:00:00,8227,24,9.045833333333333
2022-05-01T02:00:00,8227,24,9.0125
2022-05-01T01:00:00,7389,24,8.125000000000002
2022-05-01T00:00:00,9985,24,14.037500000000001
2022-05-01T00:00:00,9119,22,11.309090909090909
2022-05-01T00:00:00,9313,21,17.852380952380955
2022-05-01T02:00:00,7389,24,7.683333333333333
2022-05-01T01:00:00,8362,25,10.276000000000002
2022-05-01T01:00:00,7830,25,8.564
2022-05-01T02:00:00,8362,24,10.445833333333333
2022-05-01T02:00:00,7830,24,7.53
2022-05-01T01:00:00,5571,24,10.4625
2022-05-01T01:00:00,7882,24,10.499999999999998
2022-05-01T01:00:00,9119,24,10.899999999999999
2022-05-01T01:00:00,9313,24,17.89166666666667
2022-05-01T01:00:00,9985,24,13.641666666666667
2022-05-01T02:00:00,7882,24,10.404166666666667
2022-05-01T02:00:00,9119,24,10.200000000000001
2022-05-01T02:00:00,5571,24,9.791666666666664
2022-05-01T02:00:00,9313,23,17.63913043478261
2022-05-01T02:00:00,9985,24,12.808333333333335
2022-05-01T03:00:00,8362,24,10.483333333333336
2022-05-01T03:00:00,8227,25,8.888000000000003
2022-05-01T03:00:00,9119,25,9.663999999999998
2022-05-01T03:00:00,7389,25,7.984000000000001
2022-05-01T03:00:00,9313,24,17.462500000000002
2022-05-01T03:00:00,5571,24,9.62916666666667
2022-05-01T03:00:00,9985,24,12.3375
2022-05-01T03:00:00,7830,25,6.525999999999999
2022-05-01T03:00:00,7882,24,10.133333333333335
2022-05-01T04:00:00,7830,24,5.832916666666666
2022-05-01T04:00:00,8227,24,8.912500000000003
2022-05-01T04:00:00,7389,22,8.281818181818183
2022-05-01T04:00:00,6454,23,9.88695652173913
2022-05-01T04:00:00,8362,25,10.552
2022-05-01T04:00:00,9313,20,17.365000000000006
2022-05-01T04:00:00,7882,25,10.759999999999998
2022-05-01T04:00:00,9985,24,12.14166666666666
2022-05-01T04:00:00,9119,24,9.520833333333334
2022-05-01T04:00:00,5571,24,10.316666666666668
2022-05-01T05:00:00,8227,25,9.207999999999998
2022-05-01T05:00:00,9313,24,17.520833333333332
2022-05-01T05:00:00,7830,25,6.4068000000000005
2022-05-01T05:00:00,7389,25,12.892000000000001
2022-05-01T05:00:00,9985,25,12.811999999999998
2022-05-01T05:00:00,8362,25,11.303999999999998
2022-05-01T05:00:00,5571,25,11.107999999999999
2022-05-01T05:00:00,9119,25,12.596000000000002
2022-05-01T05:00:00,7882,24,11.516666666666667
2022-05-01T05:00:00,6454,24,12.254166666666665
2022-05-01T06:00:00,7882,24,13.054166666666665
2022-05-01T06:00:00,9119,24,17.454166666666666
2022-05-01T06:00:00,7830,25,10.192000000000002
2022-05-01T06:00:00,5571,24,12.466666666666669
